Voltage_V,dQdV_mAh_per_V,Step
2.9999843,-17.302009653615,Discharge
3.0165536,-4.89570983120864,Discharge
3.0594964,-3.65623213196148,Discharge
3.096916,-4.21939090779804,Discharge
3.1295767,-4.89718623757719,Discharge
3.1575937,-5.71123800964754,Discharge
3.1818073,-9.25315107996745,Discharge
3.2031355,-14.1361909025297,Discharge
3.2217305,-17.1501715143887,Discharge
3.237994,-20.1686903614331,Discharge
3.2520216,-23.1312838688299,Discharge
3.2644055,-26.1598495809566,Discharge
3.2753754,-29.8481448710856,Discharge
3.2848735,-33.7923391130354,Discharge
3.2934544,-37.2575999968136,Discharge
3.301271,-41.0889647186478,Discharge
3.3083229,-45.0246962707305,Discharge
3.3148398,-49.4084792909655,Discharge
3.3206878,-54.2735918853151,Discharge
3.3260963,-59.309039059592,Discharge
3.3309886,-62.9280297920615,Discharge
3.3358047,-66.8757954812586,Discharge
3.3401239,-72.4890481005549,Discharge
3.3442326,-77.4035119663678,Discharge
3.3480167,-82.1772570003787,Discharge
3.3516669,-85.9351794288228,Discharge
3.3551259,-92.1241391719026,Discharge
3.3582985,-95.70913030569,Discharge
3.3615091,-97.4635266904575,Discharge
3.3645668,-106.560173641595,Discharge
3.3672423,-109.852017354415,Discharge
3.3701282,-110.611820793691,Discharge
3.3727655,-117.527499948386,Discharge
3.3753264,-121.08448635005,Discharge
3.377811,-128.902216965534,Discharge
3.3800659,-132.646986283252,Discharge
3.3824167,-127.866300004093,Discharge
3.3848438,-137.204977695685,Discharge
3.3868694,-147.997283437524,Discharge
3.3889718,-137.786809035984,Discharge
3.3913033,-141.452420727085,Discharge
3.3932908,-154.428107042495,Discharge
3.3952594,-157.469148457165,Discharge
3.3971705,-162.275037193556,Discharge
3.3990242,-159.047442626193,Discharge
3.4010117,-163.929651842059,Discharge
3.402751,-167.36975617648,Discharge
3.4046619,-171.871120836684,Discharge
3.4063056,-174.682044434253,Discharge
3.4081593,-176.611038079889,Discharge
3.4097648,-184.778412217802,Discharge
3.4114656,-180.621089826349,Discharge
3.4131472,-189.16080376726,Discharge
3.4146953,-190.274253734446,Discharge
3.416358,-184.772740136682,Discharge
3.4180017,-190.292057695218,Discharge
3.4195685,-197.342445656195,Discharge
3.4210975,-202.322456191211,Discharge
3.4225881,-204.914828735083,Discharge
3.4240789,-206.229152888918,Discharge
3.4255505,-210.311308839168,Discharge
3.4269838,-213.128686972658,Discharge
3.428417,-199.795128374848,Discharge
3.4300416,-221.996268817117,Discharge
3.431169,-233.332285857431,Discharge
3.4326599,-208.937799997799,Discharge
3.434093,-226.725418723158,Discharge
3.4353545,-229.977178752792,Discharge
3.4367495,-233.359180340325,Discharge
3.4379725,-235.047057140997,Discharge
3.4393487,-238.5437025703,Discharge
3.4405336,-242.174727511337,Discharge
3.4418714,-242.193857356509,Discharge
3.4430561,-247.813147404132,Discharge
3.4443367,-249.727540055353,Discharge
3.4455025,-273.250358834232,Discharge
3.4465725,-247.812781406552,Discharge
3.4479678,-233.32285414081,Discharge
3.4491909,-255.737920143075,Discharge
3.4503567,-275.591857342977,Discharge
3.4514077,-259.904591158093,Discharge
3.4527073,-253.709078817447,Discharge
3.4538157,-273.21286286626,Discharge
3.4549434,-255.726736489165,Discharge
3.4562047,-264.197791209674,Discharge
3.4572558,-285.414960975289,Discharge
3.4583452,-275.57873384787,Discharge
3.4594727,-277.986216094695,Discharge
3.4605429,-275.591034437132,Discharge
3.4616895,-275.591021054165,Discharge
3.4627597,-277.986147262105,Discharge
3.4638872,-277.973470945887,Discharge
3.4649575,-295.993201242366,Discharge
3.4659512,-307.355110517628,Discharge
3.4669452,-285.414400345239,Discharge
3.4680917,-277.985788988456,Discharge
3.4691429,-273.199745676619,Discharge
3.4703279,-304.475055948061,Discharge
3.4711494,-322.935401132596,Discharge
3.4722197,-307.354886495768,Discharge
3.4731371,-326.176995106272,Discharge
3.4740927,-293.279146093113,Discharge
3.4752202,-293.279308940444,Discharge
3.4761758,-310.369050018611,Discharge
3.4771886,-301.575044345836,Discharge
3.4782016,-307.355757645541,Discharge
3.4791763,-313.410613781842,Discharge
