pc_timestamp,arduino_line,temperature_C,alarm
2026-06-08 | 15:02:20.903,Time [s]: 2075.8 | RTD raw: 8347 | Resistance [ohm]: 109.534 | Temperature [C]: 24.52,24.52,
2026-06-08 | 15:02:20.905,Time [s]: 2077.0 | RTD raw: 8347 | Resistance [ohm]: 109.534 | Temperature [C]: 24.45,24.45,
2026-06-08 | 15:02:21.711,Time [s]: 2078.1 | RTD raw: 8347 | Resistance [ohm]: 109.534 | Temperature [C]: 24.48,24.48,
2026-06-08 | 15:02:22.863,Time [s]: 2079.3 | RTD raw: 8347 | Resistance [ohm]: 109.534 | Temperature [C]: 24.48,24.48,
2026-06-08 | 15:02:24.016,Time [s]: 2080.4 | RTD raw: 8347 | Resistance [ohm]: 109.534 | Temperature [C]: 24.48,24.48,
2026-06-08 | 15:02:25.168,Time [s]: 2081.6 | RTD raw: 8347 | Resistance [ohm]: 109.534 | Temperature [C]: 24.48,24.48,
2026-06-08 | 15:02:26.321,Time [s]: 2082.7 | RTD raw: 8348 | Resistance [ohm]: 109.547 | Temperature [C]: 24.48,24.48,
2026-06-08 | 15:02:27.471,Time [s]: 2083.9 | RTD raw: 8347 | Resistance [ohm]: 109.534 | Temperature [C]: 24.48,24.48,
2026-06-08 | 15:02:28.624,Time [s]: 2085.0 | RTD raw: 8347 | Resistance [ohm]: 109.534 | Temperature [C]: 24.48,24.48,
2026-06-08 | 15:02:29.775,Time [s]: 2086.2 | RTD raw: 8347 | Resistance [ohm]: 109.534 | Temperature [C]: 24.48,24.48,
2026-06-08 | 15:02:30.927,Time [s]: 2087.3 | RTD raw: 8347 | Resistance [ohm]: 109.534 | Temperature [C]: 24.48,24.48,
2026-06-08 | 15:02:32.082,Time [s]: 2088.5 | RTD raw: 8348 | Resistance [ohm]: 109.547 | Temperature [C]: 24.52,24.52,
2026-06-08 | 15:02:33.231,Time [s]: 2089.6 | RTD raw: 8351 | Resistance [ohm]: 109.586 | Temperature [C]: 24.58,24.58,
2026-06-08 | 15:02:34.383,Time [s]: 2090.8 | RTD raw: 8352 | Resistance [ohm]: 109.600 | Temperature [C]: 24.69,24.69,
2026-06-08 | 15:02:35.536,Time [s]: 2091.9 | RTD raw: 8355 | Resistance [ohm]: 109.639 | Temperature [C]: 24.72,24.72,
2026-06-08 | 15:02:36.688,Time [s]: 2093.1 | RTD raw: 8355 | Resistance [ohm]: 109.639 | Temperature [C]: 24.79,24.79,
2026-06-08 | 15:02:37.841,Time [s]: 2094.2 | RTD raw: 8356 | Resistance [ohm]: 109.652 | Temperature [C]: 24.79,24.79,
2026-06-08 | 15:02:38.992,Time [s]: 2095.4 | RTD raw: 8356 | Resistance [ohm]: 109.652 | Temperature [C]: 24.79,24.79,
2026-06-08 | 15:02:40.146,Time [s]: 2096.5 | RTD raw: 8356 | Resistance [ohm]: 109.652 | Temperature [C]: 24.79,24.79,
2026-06-08 | 15:02:41.297,Time [s]: 2097.7 | RTD raw: 8356 | Resistance [ohm]: 109.652 | Temperature [C]: 24.79,24.79,
2026-06-08 | 15:02:42.447,Time [s]: 2098.8 | RTD raw: 8357 | Resistance [ohm]: 109.665 | Temperature [C]: 24.79,24.79,
2026-06-08 | 15:02:43.600,Time [s]: 2100.0 | RTD raw: 8356 | Resistance [ohm]: 109.652 | Temperature [C]: 24.79,24.79,
2026-06-08 | 15:02:44.752,Time [s]: 2101.2 | RTD raw: 8356 | Resistance [ohm]: 109.652 | Temperature [C]: 24.75,24.75,
2026-06-08 | 15:02:45.904,Time [s]: 2102.3 | RTD raw: 8356 | Resistance [ohm]: 109.652 | Temperature [C]: 24.79,24.79,
2026-06-08 | 15:02:47.056,Time [s]: 2103.5 | RTD raw: 8356 | Resistance [ohm]: 109.652 | Temperature [C]: 24.75,24.75,
2026-06-08 | 15:02:48.208,Time [s]: 2104.6 | RTD raw: 8357 | Resistance [ohm]: 109.665 | Temperature [C]: 24.82,24.82,
2026-06-08 | 15:02:49.359,Time [s]: 2105.8 | RTD raw: 8359 | Resistance [ohm]: 109.691 | Temperature [C]: 24.89,24.89,
2026-06-08 | 15:02:50.514,Time [s]: 2106.9 | RTD raw: 8362 | Resistance [ohm]: 109.731 | Temperature [C]: 24.99,24.99,
2026-06-08 | 15:02:51.662,Time [s]: 2108.1 | RTD raw: 8364 | Resistance [ohm]: 109.757 | Temperature [C]: 25.06,25.06,TEMPERATURE_LIMIT_EXCEEDED
