pc_timestamp,arduino_line,temperature_C,alarm
2026-06-08 | 15:13:37.994,Time [s]: 4.4 | RTD raw: 8341 | Resistance [ohm]: 109.455 | Temperature [C]: 24.25,24.25,
2026-06-08 | 15:13:38.256,Time [s]: 5.6 | RTD raw: 8340 | Resistance [ohm]: 109.442 | Temperature [C]: 24.25,24.25,
2026-06-08 | 15:13:39.406,Time [s]: 6.7 | RTD raw: 8340 | Resistance [ohm]: 109.442 | Temperature [C]: 24.25,24.25,
2026-06-08 | 15:13:40.558,Time [s]: 7.9 | RTD raw: 8340 | Resistance [ohm]: 109.442 | Temperature [C]: 24.25,24.25,
2026-06-08 | 15:13:41.712,Time [s]: 9.0 | RTD raw: 8340 | Resistance [ohm]: 109.442 | Temperature [C]: 24.25,24.25,
2026-06-08 | 15:13:42.863,Time [s]: 10.2 | RTD raw: 8340 | Resistance [ohm]: 109.442 | Temperature [C]: 24.25,24.25,
2026-06-08 | 15:13:44.016,Time [s]: 11.3 | RTD raw: 8340 | Resistance [ohm]: 109.442 | Temperature [C]: 24.28,24.28,
2026-06-08 | 15:13:45.167,Time [s]: 12.5 | RTD raw: 8341 | Resistance [ohm]: 109.455 | Temperature [C]: 24.25,24.25,
2026-06-08 | 15:13:46.320,Time [s]: 13.7 | RTD raw: 8341 | Resistance [ohm]: 109.455 | Temperature [C]: 24.28,24.28,
2026-06-08 | 15:13:47.472,Time [s]: 14.8 | RTD raw: 8341 | Resistance [ohm]: 109.455 | Temperature [C]: 24.28,24.28,
2026-06-08 | 15:13:48.624,Time [s]: 16.0 | RTD raw: 8341 | Resistance [ohm]: 109.455 | Temperature [C]: 24.28,24.28,
2026-06-08 | 15:13:49.776,Time [s]: 17.1 | RTD raw: 8342 | Resistance [ohm]: 109.468 | Temperature [C]: 24.31,24.31,
2026-06-08 | 15:13:50.927,Time [s]: 18.3 | RTD raw: 8342 | Resistance [ohm]: 109.468 | Temperature [C]: 24.31,24.31,
2026-06-08 | 15:13:52.079,Time [s]: 19.4 | RTD raw: 8342 | Resistance [ohm]: 109.468 | Temperature [C]: 24.31,24.31,
2026-06-08 | 15:13:53.232,Time [s]: 20.6 | RTD raw: 8342 | Resistance [ohm]: 109.468 | Temperature [C]: 24.35,24.35,
2026-06-08 | 15:13:54.384,Time [s]: 21.7 | RTD raw: 8342 | Resistance [ohm]: 109.468 | Temperature [C]: 24.35,24.35,
2026-06-08 | 15:13:55.535,Time [s]: 22.9 | RTD raw: 8344 | Resistance [ohm]: 109.495 | Temperature [C]: 24.38,24.38,
2026-06-08 | 15:13:56.687,Time [s]: 24.0 | RTD raw: 8345 | Resistance [ohm]: 109.508 | Temperature [C]: 24.45,24.45,
2026-06-08 | 15:13:57.839,Time [s]: 25.2 | RTD raw: 8348 | Resistance [ohm]: 109.547 | Temperature [C]: 24.48,24.48,
2026-06-08 | 15:13:58.991,Time [s]: 26.3 | RTD raw: 8349 | Resistance [ohm]: 109.560 | Temperature [C]: 24.55,24.55,
2026-06-08 | 15:14:00.141,Time [s]: 27.5 | RTD raw: 8350 | Resistance [ohm]: 109.573 | Temperature [C]: 24.62,24.62,
2026-06-08 | 15:14:01.294,Time [s]: 28.6 | RTD raw: 8352 | Resistance [ohm]: 109.600 | Temperature [C]: 24.65,24.65,
2026-06-08 | 15:14:02.446,Time [s]: 29.8 | RTD raw: 8353 | Resistance [ohm]: 109.613 | Temperature [C]: 24.69,24.69,
2026-06-08 | 15:14:03.600,Time [s]: 30.9 | RTD raw: 8354 | Resistance [ohm]: 109.626 | Temperature [C]: 24.72,24.72,
2026-06-08 | 15:14:04.751,Time [s]: 32.1 | RTD raw: 8355 | Resistance [ohm]: 109.639 | Temperature [C]: 24.75,24.75,
2026-06-08 | 15:14:05.904,Time [s]: 33.2 | RTD raw: 8356 | Resistance [ohm]: 109.652 | Temperature [C]: 24.79,24.79,
2026-06-08 | 15:14:07.053,Time [s]: 34.4 | RTD raw: 8357 | Resistance [ohm]: 109.665 | Temperature [C]: 24.79,24.79,
2026-06-08 | 15:14:08.208,Time [s]: 35.5 | RTD raw: 8357 | Resistance [ohm]: 109.665 | Temperature [C]: 24.82,24.82,
2026-06-08 | 15:14:09.357,Time [s]: 36.7 | RTD raw: 8358 | Resistance [ohm]: 109.678 | Temperature [C]: 24.82,24.82,
2026-06-08 | 15:14:10.510,Time [s]: 37.8 | RTD raw: 8358 | Resistance [ohm]: 109.678 | Temperature [C]: 24.85,24.85,
2026-06-08 | 15:14:11.662,Time [s]: 39.0 | RTD raw: 8359 | Resistance [ohm]: 109.691 | Temperature [C]: 24.89,24.89,
